"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 12 04:58:43 GMT 2025","Wed Mar 12 04:58:43 GMT 2025","301","UI Tests","ui/login/login.spec.ts","Login Tests","","","Login with locked out user",""
"passed","Wed Mar 12 04:58:43 GMT 2025","Wed Mar 12 04:58:43 GMT 2025","319","UI Tests","ui/login/login.spec.ts","Login Tests","","","Login with invalid credentials",""
"passed","Wed Mar 12 04:58:42 GMT 2025","Wed Mar 12 04:58:42 GMT 2025","408","UI Tests","ui/login/login.spec.ts","Login Tests","","","Sign in page is loaded",""
"passed","Wed Mar 12 04:58:42 GMT 2025","Wed Mar 12 04:58:43 GMT 2025","347","UI Tests","ui/login/login.spec.ts","Login Tests","","","Login with valid credentials",""
